10000,
6.42,4014.56
6.07,8872.39
6.17,7760.1
6.77,6582.35
5.51,8830.42
7.26,4716.82
3.77,1578.44
1.92,6048.65
3.33,6045.52
4.93,4459.83
3.23,3127.27
1.75,7059.18
0.65,9552.93
8.52,6595.29
6.23,5316.3
4.66,1729.22
9.38,4813.33
5.13,7717.55
5.13,8756.04
4.9,2453.7
5.25,6562.58
0.54,12.46
4.64,3356.69
1.22,9692.73
7.98,2816.35
3.62,9831.15
0.62,1040.54
6.6,5722.22
3.41,5442.36
0.82,1906.19
3.17,3251.56
6.78,4112.65
4.08,8842.19
0.84,6913.99
5.03,9857.48
2.73,9689.88
3.27,5877.94
3.38,4502.26
8.59,7969.36
2.7,1366.74
9.95,9103.9
3.5,2745.38
3.22,8788.18
9.87,565.46
8,9682.34
0.24,8465.71
0.97,1541.78
5.26,5709.17
1.02,8229.81
3.42,8743.25
3.64,6330.68
5.15,4762.32
2.42,3990.56
1.4,1321.15
6.87,2744.98
7.08,4674.1
9.71,2798.64
0.92,2838.9
6.35,7359.17
6.19,8360.92
3.26,9468.75
0.56,1044.09
2.49,4927.04
4.73,5342.21
4.65,1472.43
4.89,8488.99
1.05,8762.18
6.26,2404.82
5.68,7761.71
0.3,2507.68
3.69,7740.44
8.09,5724.07
1.51,9845.8
6.58,9432.19
3.05,1579.34
7.7,2451.44
2.36,2996.59
8.53,7022.49
5.92,620.52
4.25,2328.08
5.64,7520.52
7.09,6195.35
9.04,6949.17
6.46,9497.17
9.57,4728.11
5.63,6250.44
8.4,2006.1
4.21,5335.69
4.34,3479.18
2.71,1464.5
9.09,4204.24
6.97,8425.78
6.39,4211.17
8.25,8561.14
2.81,7891.05
9.32,130.93
9.3,5405.71
5.29,8852.48
0.64,4557.99
9.9,2082.54
8.28,253.33
7.33,8996.3
6.36,103.89
2.57,1966.66
6,4571.47
6.98,9650.59
1.97,7590.98
6.4,2378.78
3.7,1644.12
8.66,3271.91
0.07,9298.3
0.11,1201.32
1.85,2574.79
9.23,5885.41
4.75,7493.03
8.72,7043.29
7.08,2853.35
0.19,7041.75
8.28,3999.85
1.63,605.69
2.49,1098.11
2.84,8577.5
6.78,8385.48
5.99,7988.22
9.39,9901.18
8.28,2307.55
6.29,7677.29
3.44,3215.94
9.7,9304.67
2.59,222.63
8.25,7104.57
9.91,7699.51
2.27,4190.38
6.36,859.84
8.68,5899.81
7.8,5817.13
3.88,5655.99
1.94,6563.46
7.37,2367.42
7.5,9229.87
7.94,503.8
3.89,1794.4
5.63,2632.52
2.33,7539.29
8.86,7598.99
6.8,180.17
2.93,7126.59
7.2,7094.62
4.61,2494.88
0.48,378.59
4.04,5369.61
7.83,608.52
5.87,4778.77
9.74,4195.92
8.3,6812.83
8.18,5738.45
1.19,4622.98
5.97,8490.48
6.11,9218.11
8.6,9394.68
5.11,4086.74
0.82,3741.13
8.38,6049.31
0.23,3603.09
7.08,5604.78
4.58,4598.19
8.85,9359.09
1.68,5009.6
1.11,3070.42
7.94,5982.73
3.01,1149.5
7.91,983.56
4.17,7687.1
1.95,6919.14
2.99,6207.96
2.86,3000.86
3.9,3118.61
9.68,61.02
3.26,3808.73
9.01,7044.76
9.69,6730.45
2.67,4421.77
5.31,7999.79
8.83,1794.3
6.57,2941.61
8.78,1585.55
5.24,8738.91
6.81,5329.37
5.85,9181.2
8.41,9758.32
9.73,2818.05
4.28,4403.67
3.3,1313.66
8.03,2318.99
4.78,1486.17
3.98,5680.3
6.47,6193.42
4.44,663.41
3.84,2671.61
1.76,4091.68
1.63,5455.52
3.1,5382.11
7.22,8380.28
3.54,6740.97
7.67,2847.69
3.64,6796.16
7.96,2924.21
0.3,4981.02
9.93,8344
6.2,9324.22
4.79,364.57
3.61,5144.36
4.46,6.8
7.44,1939.12
4.81,3368.25
2.95,7233.05
7.6,8339.7
0.2,9363.41
6.59,6416.96
9.38,9604.56
8.08,8742.3
1.67,3491.46
6.7,9705.14
5.74,96.63
1.78,333.65
5.42,2399.96
1.27,4851.31
1.03,8803
4.23,4260.57
1.04,1322.91
3.24,6256.88
1.49,1466.47
1.76,6532.23
8.52,6147.03
9.63,1942.41
6.32,7244.38
5.36,8854.42
8.37,9295.26
4.61,6503.32
4.13,698.78
0.06,2309.65
7.62,5243.09
3.83,8282.66
0.02,5460.78
7.06,4220.11
1.68,8168.25
3.61,5851.12
0.14,8515.14
4.98,6467.19
1.09,5295.08
0.39,1897.6
6.08,4099.11
7.45,6419.86
8.78,1596.36
6.43,2893.07
7.96,4580.8
5.45,2888.38
0.59,212.61
1.62,6142.38
4.97,9966.95
4.4,2681.24
6.54,4716.82
6.48,8678.27
0.82,9776.83
9.02,7061.3
6.49,5406.06
4.26,18.89
1.58,4715.76
1.62,5325.58
5.34,8220.88
2.24,559.57
2.45,3848.77
0.69,2008.51
2.17,9169.26
2.17,4109.57
0.7,1774.41
5.42,5100.04
3.05,1252.56
5.9,2595.08
1.27,7890.01
6.92,9040.85
8.96,4155.9
2.46,7559.31
1.4,9096.89
3.17,45.82
6.73,390.53
8.84,8610.08
9.75,3233.87
8.63,5204.16
2.56,1144.89
3.25,245.26
1.24,9089.99
7.67,2629.43
0.84,2590.03
5.22,1417.17
7.44,3520.12
0.26,1739.37
6.47,7180.56
4.51,3303.7
1.4,9204.23
4.45,280.76
6.32,8714.59
5.51,3728
5.02,9238.21
9.12,6222.54
5.21,9488.6
8.11,5155.7
